topology_radius,transError.mean.std
4,0.0268714999802
4,0.08188
2,0.0386996817124
3,0.195896
2,0.00292
3,0.0
4,0.1233725
2,0.0698618482453
3,4.9228345
4,9.61954530971
3,0.0
4,0.156519499397
4,0.0
3,0.277745542295
3,0.448678
2,0.347259
3,0.354833
4,0.0
3,0.0584935
3,0.0
3,0.321336
2,0.477166622112
4,0.255518043365
1,3.45614803464
3,0.0
2,3.87716082459
2,0.596664793933
3,2.23653723722
3,0.1633645
3,0.9678625
4,0.0
5,2.54792806727
4,6.6343885
2,0.0
4,5.7450325
5,0.0
4,0.15450226646

5-Fold RMSE:,1.76242738084,1.06797683848,2.18712084701,1.80748592569,1.80748592569
Average 5-Fold RMSE:,2.17267664453

5-Fold rsquared:,-2.99744726515,-15.6942560715,-0.103277309227,-0.322627352013,-0.322627352013
Average 5-Fold rsquared:,-3.82642050888
