roomPerimeter,transError.mean.std
824.277775057,0.0268714999802
909.128599512,0.08188
883.283838598,0.0386996817124
602.61103687,0.195896
651.012500721,0.00292
1075.51367261,0.0
537.162909983,0.1233725
343.406315926,0.0698618482453
655.096395443,4.9228345
864.15979835,9.61954530971
470.629120514,0.0
551.429068269,0.156519499397
837.315270419,0.0
846.661098224,0.277745542295
865.683726415,0.448678
349.485622363,0.347259
900.193877884,0.354833
688.861804167,0.0
533.159488544,0.0584935
1023.76949412,0.0
501.062394277,0.321336
1357.05101607,0.477166622112
1113.23214774,0.255518043365
789.405453777,3.45614803464
345.129490021,0.0
349.626511091,3.87716082459
506.227250231,0.596664793933
623.087494685,2.23653723722
498.214112703,0.1633645
551.960813093,0.9678625
636.640571297,0.0
787.160481335,2.54792806727
1173.67459887,6.6343885
623.395444333,0.0
1588.62791478,5.7450325
1208.95867135,0.0
1483.77049838,0.15450226646

5-Fold RMSE:,1.37474179427,1.4024427161,3.50636656388,3.41850882249,3.41850882249
Average 5-Fold RMSE:,2.15945606252

5-Fold rsquared:,0.0539082115692,-13.2536001133,-0.424256690718,-0.011365834211,-0.011365834211
Average 5-Fold rsquared:,-2.72269602948
