voronoi_radius,rotError.std.std
23,0.00415768868333
18,0.0035425
20,0.00655641073759
18,0.0051905
19,0.006605
18,0.0
21,0.0056375
9,0.00514110111625
17,0.4711185
16,0.520981324519
16,0.0
19,0.00461329826576
27,0.0
14,0.00678663190888
4,0.000102
16,0.002803
16,0.0297495
19,0.0
15,0.004725
17,0.0
19,0.003115
20,0.00955488046323
20,0.0452229868072
19,0.265200879727
16,0.0
14,0.370361932929
22,0.0440903158374
40,0.0449257746967
21,0.3296775
26,0.015767
14,0.0
20,0.0520600178548
28,0.46847
12,0.0
14,0.126804
23,0.0
18,0.00888930742522

5-Fold RMSE:,0.0938429245802,0.124924525831,0.156908785145,0.0745590450205,0.0745590450205
Average 5-Fold RMSE:,0.148784629702

5-Fold rsquared:,-0.383512268497,-1600.77092614,-0.050528918708,-0.00363553469592,-0.00363553469592
Average 5-Fold rsquared:,-320.706385151
