topology_avg_closeness_centrality,transError.std.mean
0.321027376431,0.79363175
0.307063318781,0.9712675
0.3736125688,0.660006
0.408935571873,0.553814
0.424645653444,0.679647
0.361359086553,0.695845
0.275527456151,0.6465805
0.458570826992,0.64506525
0.384808883271,8.99611
0.345619064651,11.1858156667
0.31302022507,4.032134
0.297037369872,0.868578333333
0.327739729602,0.980527
0.320985703109,0.931125666667
0.348572411089,0.68123
0.4281060583,0.7183785
0.401704629629,1.188382
0.312405095581,1.285796
0.387862468291,1.247364
0.33979368597,2.102963
0.350927942074,1.003049
0.401346505261,1.010814
0.278481518716,1.3055026
0.777777777778,13.7854806667
0.36624766393,8.904198
0.41996024624,5.65513066667
0.488065475429,1.8947556
0.42200643551,2.71848344444
0.341150943476,1.921542
0.302416892695,2.705434
0.315127997702,28.104709
0.261732493222,2.8970098
0.320506146099,11.9478155
0.415539839586,4.520748
0.284488279077,9.020481
0.259287867843,2.112467
0.352171322103,1.77265025

5-Fold RMSE:,9.19014503408,2.75155516645,7.51065158228,3.56273684133,3.56273684133
Average 5-Fold RMSE:,5.28941638667

5-Fold rsquared:,-0.0725429056575,-0.557389904279,-1.71873401982,-0.464205657862,-0.464205657862
Average 5-Fold rsquared:,-0.549812523027
