topology_avg_katz_centrality,transError.mean.mean
0.177783461173,0.77999825
0.173718373605,0.737788
0.225837365907,0.6111264
0.197191271315,0.627088
0.17256521982,0.895302
0.156033511459,0.690067
0.137439770012,0.6868825
0.221789361423,0.7195855
0.213572373485,6.0711005
0.194739301254,7.747828
0.168023315729,1.066061
0.165392862514,0.880959666667
0.164520601552,1.110731
0.22139266437,0.992162
0.226325241251,0.806277
0.222462593068,0.960523
0.197164987585,0.95364
0.200394557396,1.467048
0.159984669078,1.3147815
0.162992923157,1.60563
0.13687879313,1.28873
0.17493981875,1.08620766667
0.153835261752,0.873942
0.576851478367,9.46907833333
0.255507311148,5.437125
0.217728809152,5.458101
0.184491558962,1.9444218
0.140375197828,2.43944244444
0.137896297217,2.0359135
0.205673933659,2.2091805
0.187006207323,16.189822
0.151720774244,2.9383338
0.139000400145,7.8686635
0.23768993686,3.155217
0.152012508979,7.5462215
0.122273092524,1.874993
0.194677300978,1.3166405

5-Fold RMSE:,2.98727033529,1.94790602377,6.24129577108,1.25629077249,1.25629077249
Average 5-Fold RMSE:,3.04628381782

5-Fold rsquared:,-0.182584491797,0.0401540349819,-0.0113241896771,-0.48925167591,-0.48925167591
Average 5-Fold rsquared:,-0.170732424372
