voronoi_diameter,transError.std.std
45,0.0488762765684
31,0.1863275
40,0.101101237389
26,0.186017
31,0.009255
32,0.0
38,0.0591725
18,0.138424101571
34,7.65827
31,14.6652972746
31,0.0
38,0.163987254835
52,0.0
27,0.187602242848
8,0.322411
24,0.2730165
30,0.749069
38,0.0
27,0.066417
30,0.0
26,0.146625
34,0.721266797933
40,0.738109625713
38,3.0796217385
31,0.0
27,4.04790223421
44,0.36931376237
51,2.45785083592
41,0.413958
51,0.845742
28,0.0
39,2.57654755771
55,10.1506075
24,0.0
28,7.315611
44,0.0
36,0.795869226053

5-Fold RMSE:,4.8538481994,3.37507365104,2.94641287311,2.64853263213,2.64853263213
Average 5-Fold RMSE:,3.08527913603

5-Fold rsquared:,-0.430531439662,-0.132784552732,-34.264608317,-27.376216328,-27.376216328
Average 5-Fold rsquared:,-12.5045760599
