avgRoomWallRatio,transError.mean.mean
28.751717776,0.77999825
137.556377369,0.737788
52.1209436869,0.6111264
11.0567143812,0.627088
25.0965042526,0.895302
5.11370107056,0.690067
5.20722404423,0.6868825
16.4235744233,0.7195855
23.8346876138,6.0711005
20.8609685098,7.747828
5.36699093475,1.066061
6.82477892286,0.880959666667
8.06038669655,1.110731
29.1017856064,0.992162
112.186234652,0.806277
9.94474092631,0.960523
20.3487250038,0.95364
32.0558355679,1.467048
5.66003775883,1.3147815
41.7117577663,1.60563
4.15960998171,1.28873
257.915562133,1.08620766667
18.4384227154,0.873942
78.8607355756,9.46907833333
17.0310324486,5.437125
5.20590608492,5.458101
15.5899748781,1.9444218
9.40155834329,2.43944244444
5.76789137536,2.0359135
32.8475094999,2.2091805
21.165267296,16.189822
12.5838625992,2.9383338
31.9225066807,7.8686635
20.6470540419,3.155217
94.0246719844,7.5462215
74.578108553,1.874993
42.725871617,1.3166405

5-Fold RMSE:,1.97809287969,5.57006371908,2.5294916618,3.15801818341,3.15801818341
Average 5-Fold RMSE:,3.15806208758

5-Fold rsquared:,-0.101246454714,-0.189239415178,-0.0722113945254,-0.273540421729,-0.273540421729
Average 5-Fold rsquared:,-0.315396466485
