avgRoomArea,transError.std.mean
1770.82512649,0.79363175
1693.17206751,0.9712675
16879.3303371,0.660006
2060.46065176,0.553814
654.353986368,0.679647
2100.80696472,0.695845
42.0407507992,0.6465805
159.178043584,0.64506525
2951.87623731,8.99611
6566.39327632,11.1858156667
117.729480802,4.032134
202.653527556,0.868578333333
37.5123784326,0.980527
7841.40851591,0.931125666667
17362.1361915,0.68123
151.362690548,0.7183785
5620.85672307,1.188382
1963.40434773,1.285796
114.824991211,1.247364
1997.3848037,2.102963
34.881097464,1.003049
5426.47434551,1.010814
2722.63884182,1.3055026
1733.7689016,13.7854806667
1048.19797,8.904198
159.188760688,5.65513066667
301.946595142,1.8947556
99.3657311669,2.71848344444
35.6467956188,1.921542
1289.36416825,2.705434
1209.03521613,28.104709
363.343164941,2.8970098
943.370778453,11.9478155
5552.49887159,4.520748
7977.65771283,9.020481
469.164697244,2.112467
49524.5924242,1.77265025

5-Fold RMSE:,9.18887497338,3.14912489822,4.22746860662,3.82214227947,3.82214227947
Average 5-Fold RMSE:,4.9405875879

5-Fold rsquared:,-0.241514422013,-2.07187029915,-0.0559965587373,-0.476745003271,-0.476745003271
Average 5-Fold rsquared:,-0.629208473715
