wallRatio,rotError.numSamples.mean
195.799193881,8627.0
64.2505870093,15695.5
113.84243497,6140.2
276.335142736,4242.0
54.7144722115,6332.5
56.5108006335,6329.0
64.1950153828,5863.0
40.7940417972,6086.75
116.659635642,357218.5
125.858650875,830942.333333
42.5,36389.0
69.0004528971,15490.3333333
82.25,13796.0
136.792027631,12714.3333333
121.115647214,7331.0
85.5,7723.5
88.2524787187,25949.5
85.0,22338.0
185.4,24431.0
137.333434466,59670.0
254.000492126,13573.5
61.75,22022.0
119.221642331,32607.8
107.12901101,437301.0
116.372247551,151082.0
116.833333333,114100.666667
85.6692606611,35666.8
82.2192191644,122499.666667
75.0,19129.5
59.6003355695,110106.5
100.215345056,1804313.0
113.5,225133.0
62.8,531998.0
64.8333333333,242087.0
95.5085578123,311884.0
57.795023193,65744.0
195.0,57460.5

5-Fold RMSE:,152419.157069,680217.824631,194591.264447,156654.63431,156654.63431
Average 5-Fold RMSE:,268704.815623

5-Fold rsquared:,-0.214638806999,-0.029621504761,-420.942877948,-16.5716317137,-16.5716317137
Average 5-Fold rsquared:,-87.5503037509
