voronoi_avg_closeness_centrality,transError.std.mean
0.0607268432365,0.79363175
0.0784116989904,0.9712675
0.0670963269855,0.660006
0.0849009471958,0.553814
0.0752682157962,0.679647
0.0763646154256,0.695845
0.0630304264848,0.6465805
0.12870857214,0.64506525
0.0833470642953,8.99611
0.0764866089586,11.1858156667
0.0689598898793,4.032134
0.0653665559372,0.868578333333
0.047644843881,0.980527
0.0838354988579,0.931125666667
0.276990231888,0.68123
0.0884732603304,0.7183785
0.0840568168315,1.188382
0.0627819242078,1.285796
0.0824425675438,1.247364
0.0716179077184,2.102963
0.0829357773374,1.003049
0.0674685943723,1.010814
0.066160655136,1.3055026
0.0716879263894,13.7854806667
0.0847485271117,8.904198
0.0852834013798,5.65513066667
0.0745168063384,1.8947556
0.0418780662733,2.71848344444
0.0626132509807,1.921542
0.0459685102702,2.705434
0.086124372711,28.104709
0.0621938106869,2.8970098
0.0511601522691,11.9478155
0.10438803755,4.520748
0.0829681026723,9.020481
0.0583282349173,2.112467
0.0677186188063,1.77265025

5-Fold RMSE:,9.81579795176,4.80476914766,4.48696687539,3.53251567379,3.53251567379
Average 5-Fold RMSE:,5.29906731068

5-Fold rsquared:,-0.0772705493689,-3.46436951472,-0.126186309079,-0.217574556465,-0.217574556465
Average 5-Fold rsquared:,-0.877223992622
