voronoi_avg_shortest_path_length,transError.numSamples.mean
17.1090763052,8627.0
13.0972090374,15695.5
15.4703899487,6140.2
11.9320570832,4242.0
13.5300479543,6332.5
13.346740213,6329.0
16.2894352159,5863.0
8.04121274409,6086.75
12.4963662791,357218.5
13.4870361446,830942.333333
14.9227073619,36389.0
15.7706882489,15490.3333333
21.4998288341,13796.0
12.3135100709,12714.3333333
3.74025974026,7331.0
11.5084367246,7723.5
12.2111532504,25949.5
16.4234150966,22338.0
12.3785714286,24431.0
14.282835877,59670.0
12.3206884014,13573.5
15.0959665481,22022.0
15.7765005537,32607.8
14.4232506728,437301.0
12.2139696587,151082.0
12.0442237501,114100.666667
14.0247250894,35666.8
24.0119570496,122499.666667
16.4339661845,19129.5
22.6007609824,110106.5
12.0269053248,1804313.0
16.4454892506,225133.0
20.3348066541,531998.0
9.9010989011,242087.0
12.5083333333,311884.0
17.5499233156,65744.0
15.3235310498,57460.5

5-Fold RMSE:,174528.372814,667698.347138,167860.756414,138689.760408,138689.760408
Average 5-Fold RMSE:,269838.926392

5-Fold rsquared:,-0.221406201704,-0.321844156343,-0.0938134646978,-8.30804038213,-8.30804038213
Average 5-Fold rsquared:,-1.82156138699
