voronoi_avg_shortest_path_length,transError.numSamples.std
17.1090763052,1692.08022859
13.0972090374,3411.5
15.4703899487,2886.681652
11.9320570832,2356.0
13.5300479543,168.5
13.346740213,0.0
16.2894352159,1162.0
8.04121274409,2768.629117
12.4963662791,332796.5
13.4870361446,1162326.40025
14.9227073619,0.0
15.7706882489,4484.43361963
21.4998288341,0.0
12.3135100709,4596.02468323
3.74025974026,6269.0
11.5084367246,4659.5
12.2111532504,23467.5
16.4234150966,0.0
12.3785714286,2134.0
14.282835877,0.0
12.3206884014,3793.5
15.0959665481,25849.7467299
15.7765005537,27505.3824798
14.4232506728,164604.661684
12.2139696587,0.0
12.0442237501,116037.005748
14.0247250894,15605.2559274
24.0119570496,231363.029035
16.4339661845,8298.5
22.6007609824,59179.5
12.0269053248,0.0
16.4454892506,358042.389847
20.3348066541,489724.0
9.9010989011,0.0
12.5083333333,274071.0
17.5499233156,0.0
15.3235310498,56789.5485037

5-Fold RMSE:,135051.56991,96003.8814898,174629.900829,88305.8087674,88305.8087674
Average 5-Fold RMSE:,185797.441504

5-Fold rsquared:,-0.107944838406,-0.118805617931,-0.0101460540059,-24.4562596292,-24.4562596292
Average 5-Fold rsquared:,-4.98511719193
