topology_avg_betweenness_centrality,rotError.mean.std
0.0803776683087,0.0055707192085
0.0786962365591,0.005774
0.103887168903,0.00612134232338
0.0693346508564,0.005801
0.0506568144499,0.010443
0.052380952381,0.0
0.0603415047795,0.0071645
0.0746474028208,0.004242387086
0.0884711779449,0.454829
0.0886956521739,0.585340681631
0.0721368092692,0.0
0.0755793226381,0.00592653260066
0.0651387827858,0.0
0.125438596491,0.00493682941438
0.115927072583,0.000363
0.0835913312693,1e-05
0.0716403162055,0.0232285
0.106554677207,0.0
0.0501145912911,0.012573
0.0622358034123,0.0
0.0430054476308,0.0029735
0.0555829228243,0.00940442351001
0.071322537112,0.0173000462265
0.333333333333,0.389879276934
0.141391941392,0.0
0.0809941520468,0.370803851292
0.0462820512821,0.0154836093337
0.0346271236799,0.0414718190067
0.0447939150992,0.2579585
0.11405985319,0.0264565
0.0939031339031,0.0
0.0726480836237,0.0619982553142
0.0512077294686,0.370025
0.0990196078431,0.0
0.0677298311445,0.1258145
0.0483073539657,0.0
0.0855072463768,0.00653480410475

5-Fold RMSE:,0.166293349425,0.0851773905346,0.135887378747,0.207432197917,0.207432197917
Average 5-Fold RMSE:,0.159634740459

5-Fold rsquared:,-0.145230811332,-0.0301920755778,-0.000639526677148,-0.672001149431,-0.672001149431
Average 5-Fold rsquared:,-0.288291257226
