voronoi_avg_katz_centrality,transError.mean.mean
0.00263691501963,0.77999825
0.00414675006167,0.737788
0.00687453878969,0.6111264
0.0132370052728,0.627088
0.000254586441506,0.895302
0.00249469745735,0.690067
0.00349157537483,0.6868825
0.00819877290375,0.7195855
0.00368457372095,6.0711005
0.00593057110261,7.747828
0.00183923477374,1.066061
0.00276541182543,0.880959666667
0.00195573996648,1.110731
0.00819487385135,0.992162
0.061080293104,0.806277
0.021034321157,0.960523
0.00770788343339,0.95364
0.000985497287792,1.467048
0.00541741932639,1.3147815
0.00473407332978,1.60563
0.0107227141849,1.28873
0.00470260844059,1.08620766667
0.00337661950533,0.873942
0.00522130790338,9.46907833333
0.00394697265736,5.437125
0.0115555452936,5.458101
0.00620759969978,1.9444218
0.00237931914125,2.43944244444
0.00425521588337,2.0359135
0.00165416922011,2.2091805
0.00454144763295,16.189822
0.00305737359108,2.9383338
0.000464141250352,7.8686635
0.0118453240216,3.155217
0.00183164127162,7.5462215
0.000137398924846,1.874993
0.0125305043955,1.3166405

5-Fold RMSE:,2.63199385817,2.7561386051,5.29325777809,2.39313038555,2.39313038555
Average 5-Fold RMSE:,3.23103859465

5-Fold rsquared:,-0.140966232261,-0.134426949306,-0.146466560707,-0.107022770673,-0.107022770673
Average 5-Fold rsquared:,-0.107258792444
