voronoi_avg_eigenvector_centrality,transError.numSamples.mean
0.0117639351235,8627.0
0.013397586622,15695.5
0.00863855085793,6140.2
0.0123575452517,4242.0
0.00727309513956,6332.5
0.00813813888448,6329.0
0.00771167569822,5863.0
0.0286332432184,6086.75
0.0172809652214,357218.5
0.0092119796945,830942.333333
0.00768026339488,36389.0
0.00825178595754,15490.3333333
0.00348930382443,13796.0
0.0152906308222,12714.3333333
0.109089022235,7331.0
0.0140504632514,7723.5
0.014957737734,25949.5
0.00607997285304,22338.0
0.0113764647388,24431.0
0.00813539809992,59670.0
0.00775762679381,13573.5
0.00720516326982,22022.0
0.00830849954476,32607.8
0.00765770647817,437301.0
0.017891627974,151082.0
0.0137519009375,114100.666667
0.00941447966977,35666.8
0.00385958981256,122499.666667
0.00766469551654,19129.5
0.00780794728565,110106.5
0.0193714444817,1804313.0
0.00617839133906,225133.0
0.00533722428878,531998.0
0.0195939573205,242087.0
0.0100393514149,311884.0
0.00323439217057,65744.0
0.0103366706799,57460.5

5-Fold RMSE:,674879.755397,1114360.39087,182869.86257,118033.012071,118033.012071
Average 5-Fold RMSE:,445999.750509

5-Fold rsquared:,-0.0015945217558,-0.0566629377753,-36.6947024784,-0.0301688976212,-0.0301688976212
Average 5-Fold rsquared:,-7.83155914052
