topology_numBifurcationPoints,rotError.std.mean
8,0.02798225
9,0.0320445
3,0.0178372
4,0.0199945
6,0.021598
3,0.036893
15,0.0359985
1,0.01772125
5,0.5246775
5,0.385748
12,0.088337
7,0.0298306666667
20,0.022416
3,0.014809
3,0.008167
4,0.012435
5,0.0413675
5,0.02285
11,0.028219
7,0.122708
14,0.020269
3,0.023071
13,0.0556182
0,0.805028666667
3,0.736744
2,0.348673666667
5,0.0636326
6,0.0959848888889
17,0.3574515
5,0.047268
5,0.997592
15,0.0586724
10,0.546293
3,0.668596
12,0.147273
28,0.059187
3,0.033395

5-Fold RMSE:,0.331567225064,0.304437938973,0.257132186989,0.190206877492,0.190206877492
Average 5-Fold RMSE:,0.262044413967

5-Fold rsquared:,-0.760522973763,-0.243077004613,0.0980656774701,-57.511035432,-57.511035432
Average 5-Fold rsquared:,-11.6938763629
