topology_std_katz_centrality,rotError.numSamples.mean
0.0415496602463,8627.0
0.0327402912611,15695.5
0.040361653923,6140.2
0.052747219677,4242.0
0.0596202838132,6332.5
0.0517742245605,6329.0
0.0440867661807,5863.0
0.0586605327873,6086.75
0.0447871510946,357218.5
0.0455697766838,830942.333333
0.0343501102959,36389.0
0.0348802179017,15490.3333333
0.0387865986683,13796.0
0.0313893001367,12714.3333333
0.0375295099882,7331.0
0.0560533106338,7723.5
0.0528453814189,25949.5
0.0388418335422,22338.0
0.0545557900803,24431.0
0.0447742735529,59670.0
0.0504062668326,13573.5
0.0522435943348,22022.0
0.0365337137694,32607.8
0.0239938583583,437301.0
0.0371844136274,151082.0
0.0509329526464,114100.666667
0.0665161870029,35666.8
0.0595870605781,122499.666667
0.047552149884,19129.5
0.0343000566012,110106.5
0.0454501425725,1804313.0
0.0281128168704,225133.0
0.049173358584,531998.0
0.0482392301694,242087.0
0.0358111856313,311884.0
0.0303695030845,65744.0
0.0458339228496,57460.5

5-Fold RMSE:,150521.915632,626302.409203,290078.704132,135725.660386,135725.660386
Average 5-Fold RMSE:,274071.877709

5-Fold rsquared:,-1.14980476525,-0.711879660523,-0.314975599092,-0.0834806650353,-0.0834806650353
Average 5-Fold rsquared:,-0.480099926432
