topology_diameter,rotError.numSamples.mean
8,8627.0
7,15695.5
4,6140.2
5,4242.0
4,6332.5
6,6329.0
8,5863.0
4,6086.75
5,357218.5
7,830942.333333
5,36389.0
7,15490.3333333
7,13796.0
6,12714.3333333
6,7331.0
4,7723.5
5,25949.5
7,22338.0
4,24431.0
6,59670.0
6,13573.5
4,22022.0
7,32607.8
2,437301.0
6,151082.0
4,114100.666667
4,35666.8
5,122499.666667
6,19129.5
6,110106.5
8,1804313.0
8,225133.0
8,531998.0
4,242087.0
7,311884.0
8,65744.0
7,57460.5

5-Fold RMSE:,252930.725356,596503.777412,262898.114585,176853.444034,176853.444034
Average 5-Fold RMSE:,310912.353712

5-Fold rsquared:,-1.10758985373,0.121056489503,-0.0394038320144,-2.73905827083,-2.73905827083
Average 5-Fold rsquared:,-55.8791472536
