area,rotError.numSamples.mean
1196.88557207,8627.0
1276.3958515,15695.5
2354.8528125,6140.2
1041.21327443,4242.0
734.15,6332.5
1631.6725,6329.0
290.0184375,5863.0
231.629375,6086.75
1054.32679687,357218.5
1933.90139917,830942.333333
325.31,36389.0
459.930625,15490.3333333
441.6625,13796.0
1647.76381253,12714.3333333
2313.45559827,7331.0
256.2996875,7723.5
1710.57095749,25949.5
1020.60351562,22338.0
365.2209375,24431.0
1486.08538919,59670.0
268.7265625,13573.5
2419.47625,22022.0
1934.39945026,32607.8
1244.54759766,437301.0
441.159665625,151082.0
235.2825,114100.666667
397.378125,35666.8
434.9653125,122499.666667
279.4009375,19129.5
786.40125,110106.5
852.118300775,1804313.0
774.963125,225133.0
1269.8764875,531998.0
1203.42228531,242087.0
3629.2829625,311884.0
1312.1154,65744.0
5351.94959335,57460.5

5-Fold RMSE:,136549.839493,190063.013163,147672.414884,291535.186576,291535.186576
Average 5-Fold RMSE:,284104.479319

5-Fold rsquared:,-0.0826285647096,-0.0612467114819,-0.544914285876,-0.185613866829,-0.185613866829
Average 5-Fold rsquared:,-101.886708711
