topology_nodes,transError.mean.std
30,0.0268714999802
32,0.08188
19,0.0386996817124
24,0.195896
30,0.00292
37,0.0
48,0.1233725
19,0.0698618482453
21,4.9228345
25,9.61954530971
34,0.0
35,0.156519499397
35,0.0
20,0.277745542295
19,0.448678
19,0.347259
24,0.354833
24,0.0
35,0.0584935
35,0.0
47,0.321336
30,0.477166622112
40,0.255518043365
3,3.45614803464
15,0.0
20,3.87716082459
26,0.596664793933
43,2.23653723722
47,0.1633645
23,0.9678625
27,0.0
42,2.54792806727
46,6.6343885
17,0.0
41,5.7450325
63,0.0
25,0.15450226646

5-Fold RMSE:,1.92654925192,3.19299605838,1.76369871771,2.46294891403,2.46294891403
Average 5-Fold RMSE:,2.22716369434

5-Fold rsquared:,-0.10679944369,-0.11920317204,-1.02759106535,-0.258565356637,-0.258565356637
Average 5-Fold rsquared:,-0.395291511998
