voronoi_std_katz_centrality,transError.numSamples.std
0.0631905584655,1692.08022859
0.0658075265519,3411.5
0.0657233059386,2886.681652
0.0755455798348,2356.0
0.0641495247308,168.5
0.066034753817,0.0
0.0575331907477,1162.0
0.0841168072726,2768.629117
0.0879679595136,332796.5
0.062966882775,1162326.40025
0.0544424123813,0.0
0.0628086114111,4484.43361963
0.0394800592855,0.0
0.0788806200449,4596.02468323
0.204263905889,6269.0
0.0772516261558,4659.5
0.0713808637398,23467.5
0.0586127538334,0.0
0.0594085046862,2134.0
0.0592550204987,0.0
0.0661008951017,3793.5
0.0597913687418,25849.7467299
0.0575400519371,27505.3824798
0.0585913436971,164604.661684
0.0939892490074,0.0
0.0797494568412,116037.005748
0.0637167667236,15605.2559274
0.048109504833,231363.029035
0.0598248730876,8298.5
0.0581987476898,59179.5
0.0725973866224,0.0
0.0561712509096,358042.389847
0.0483911660079,489724.0
0.0968684562829,0.0
0.0624731549568,274071.0
0.0434370069683,0.0
0.0714572904211,56789.5485037

5-Fold RMSE:,435493.99444,119620.371797,103835.572742,94258.5369495,94258.5369495
Average 5-Fold RMSE:,171948.764704

5-Fold rsquared:,-0.84106809868,-0.151640397444,-5.72588674724,-3477.60601452,-3477.60601452
Average 5-Fold rsquared:,-696.896251911
