topology_numBifurcationPoints,rotError.mean.mean
8,0.033056
9,0.022922
3,0.0119034
4,0.024416
6,0.022984
3,0.026014
15,0.0385815
1,0.01411725
5,0.508538
5,0.427206333333
12,0.027683
7,0.021869
20,0.025594
3,0.011314
3,0.005875
4,0.008499
5,0.0364685
5,0.013377
11,0.025206
7,0.098742
14,0.0188725
3,0.0217106666667
13,0.0356654
0,0.710121333333
3,0.617859
2,0.347246
5,0.037768
6,0.0542597777778
17,0.2879235
5,0.0488165
5,0.811734
15,0.061975
10,0.422134
3,0.415324
12,0.1402775
28,0.058548
3,0.02715275

5-Fold RMSE:,0.218947035289,0.184347058086,0.167681901032,0.296122465894,0.296122465894
Average 5-Fold RMSE:,0.219183595968

5-Fold rsquared:,-0.0670779974339,-13.1253464667,-0.605665498593,-0.0659460257637,-0.0659460257637
Average 5-Fold rsquared:,-8.06519389339
