voronoi_edges,rotError.mean.std
253,0.0055707192085
235,0.005774
255,0.00612134232338
170,0.005801
246,0.010443
232,0.0
303,0.0071645
147,0.004242387086
128,0.454829
263,0.585340681631
337,0.0
253,0.00592653260066
651,0.0
166,0.00493682941438
24,0.000363
159,1e-05
195,0.0232285
305,0.0
295,0.012573
287,0.0
229,0.0029735
279,0.00940442351001
315,0.0173000462265
297,0.389879276934
112,0.0
155,0.370803851292
257,0.0154836093337
449,0.0414718190067
285,0.2579585
321,0.0264565
193,0.0
320,0.0619982553142
437,0.370025
104,0.0
264,0.1258145
562,0.0
189,0.00653480410475

5-Fold RMSE:,0.240267673635,0.0961439139876,0.130835809565,0.184955406624,0.184955406624
Average 5-Fold RMSE:,0.147336961232

5-Fold rsquared:,-3.17095723048,-29.6599544605,-0.0894008409506,-0.16913120927,-0.16913120927
Average 5-Fold rsquared:,-6.63761981016
