totalLength,rotError.mean.std
1329.72750899,0.0055707192085
2108.7669849,0.005774
2256.12310928,0.00612134232338
824.368835301,0.005801
2126.22049647,0.010443
1790.18354594,0.0
1441.58676375,0.0071645
2440.05942838,0.004242387086
946.029134275,0.454829
863.896973708,0.585340681631
3457.98110153,0.0
1867.26882519,0.00592653260066
3890.3216491,0.0
1367.16333489,0.00493682941438
1063.51137603,0.000363
1525.83099978,1e-05
1159.62437526,0.0232285
1396.36771942,0.0
874.593326059,0.012573
897.427820849,0.0
1435.35472905,0.0029735
2824.82110656,0.00940442351001
1946.83451508,0.0173000462265
846.497995999,0.389879276934
384.084747385,0.0
1326.42297693,0.370803851292
2372.92825138,0.0154836093337
3101.91185446,0.0414718190067
1942.47141161,0.2579585
3185.90692283,0.0264565
848.674294841,0.0
3035.9531446,0.0619982553142
917.952284687,0.370025
537.458350768,0.0
3987.59657007,0.1258145
1047.88838472,0.0
2361.72989476,0.00653480410475

5-Fold RMSE:,0.108035488678,0.127914104562,0.2293264922,0.0842308536897,0.0842308536897
Average 5-Fold RMSE:,0.146711945542

5-Fold rsquared:,0.0907427491595,-547.077071035,0.190160105152,-0.286916414537,-0.286916414537
Average 5-Fold rsquared:,-109.460678628
