topology_diameter,rotError.mean.mean
8,0.033056
7,0.022922
4,0.0119034
5,0.024416
4,0.022984
6,0.026014
8,0.0385815
4,0.01411725
5,0.508538
7,0.427206333333
5,0.027683
7,0.021869
7,0.025594
6,0.011314
6,0.005875
4,0.008499
5,0.0364685
7,0.013377
4,0.025206
6,0.098742
6,0.0188725
4,0.0217106666667
7,0.0356654
2,0.710121333333
6,0.617859
4,0.347246
4,0.037768
5,0.0542597777778
6,0.2879235
6,0.0488165
8,0.811734
8,0.061975
8,0.422134
4,0.415324
7,0.1402775
8,0.058548
7,0.02715275

5-Fold RMSE:,0.152871719672,0.129176059636,0.222836776015,0.395339015309,0.395339015309
Average 5-Fold RMSE:,0.219464278622

5-Fold rsquared:,-0.0536356794463,-1.45968244527,-0.172202286126,-0.290722412244,-0.290722412244
Average 5-Fold rsquared:,-0.406590072086
