topology_radius,transError.mean.mean
4,0.77999825
4,0.737788
2,0.6111264
3,0.627088
2,0.895302
3,0.690067
4,0.6868825
2,0.7195855
3,6.0711005
4,7.747828
3,1.066061
4,0.880959666667
4,1.110731
3,0.992162
3,0.806277
2,0.960523
3,0.95364
4,1.467048
3,1.3147815
3,1.60563
3,1.28873
2,1.08620766667
4,0.873942
1,9.46907833333
3,5.437125
2,5.458101
2,1.9444218
3,2.43944244444
3,2.0359135
3,2.2091805
4,16.189822
5,2.9383338
4,7.8686635
2,3.155217
4,7.5462215
5,1.874993
4,1.3166405

5-Fold RMSE:,5.07377803995,2.14501681862,2.55273840092,4.32151792504,4.32151792504
Average 5-Fold RMSE:,3.2631268185

5-Fold rsquared:,-0.151062416897,-0.447331075642,-0.00346342180125,-0.512825338961,-0.512825338961
Average 5-Fold rsquared:,-1.25009761903
