voronoi_std_katz_centrality,transError.std.mean
0.0631905584655,0.79363175
0.0658075265519,0.9712675
0.0657233059386,0.660006
0.0755455798348,0.553814
0.0641495247308,0.679647
0.066034753817,0.695845
0.0575331907477,0.6465805
0.0841168072726,0.64506525
0.0879679595136,8.99611
0.062966882775,11.1858156667
0.0544424123813,4.032134
0.0628086114111,0.868578333333
0.0394800592855,0.980527
0.0788806200449,0.931125666667
0.204263905889,0.68123
0.0772516261558,0.7183785
0.0713808637398,1.188382
0.0586127538334,1.285796
0.0594085046862,1.247364
0.0592550204987,2.102963
0.0661008951017,1.003049
0.0597913687418,1.010814
0.0575400519371,1.3055026
0.0585913436971,13.7854806667
0.0939892490074,8.904198
0.0797494568412,5.65513066667
0.0637167667236,1.8947556
0.048109504833,2.71848344444
0.0598248730876,1.921542
0.0581987476898,2.705434
0.0725973866224,28.104709
0.0561712509096,2.8970098
0.0483911660079,11.9478155
0.0968684562829,4.520748
0.0624731549568,9.020481
0.0434370069683,2.112467
0.0714572904211,1.77265025

5-Fold RMSE:,3.39297068154,3.56252404042,3.54196322963,10.9949223277,10.9949223277
Average 5-Fold RMSE:,5.10345632432

5-Fold rsquared:,-109.994386857,-0.32286933573,-0.0247489915924,-0.00963567356292,-0.00963567356292
Average 5-Fold rsquared:,-22.4523745436
