topology_std_eigenvector_centrality,rotError.std.mean
0.118775976121,0.02798225
0.105912295049,0.0320445
0.128133402293,0.0178372
0.123327189632,0.0199945
0.11116785633,0.021598
0.0963975736058,0.036893
0.111420287448,0.0359985
0.132839614937,0.01772125
0.12661037708,0.5246775
0.129278231027,0.385748
0.116999705628,0.088337
0.113860325594,0.0298306666667
0.0983045532532,0.022416
0.136984666563,0.014809
0.121745985772,0.008167
0.129587592,0.012435
0.12417994054,0.0413675
0.143314542052,0.02285
0.105943592175,0.028219
0.112661742233,0.122708
0.0953368680058,0.020269
0.11078077306,0.023071
0.108512198276,0.0556182
0.0976310729378,0.805028666667
0.136238783067,0.736744
0.127039153774,0.348673666667
0.112134596259,0.0636326
0.0976912934536,0.0959848888889
0.0929410616606,0.3574515
0.109405113251,0.047268
0.13417553378,0.997592
0.114101280324,0.0586724
0.106549735087,0.546293
0.133073753052,0.668596
0.10756347235,0.147273
0.0795638641065,0.059187
0.133711411098,0.033395

5-Fold RMSE:,0.153092664475,0.177651017703,0.249257554179,0.362719030013,0.362719030013
Average 5-Fold RMSE:,0.263220986981

5-Fold rsquared:,-0.354865612283,-0.57734275229,-0.103451946924,-0.211605178695,-0.211605178695
Average 5-Fold rsquared:,-0.238551182497
