topology_diameter,rotError.numSamples.std
8,1692.08022859
7,3411.5
4,2886.681652
5,2356.0
4,168.5
6,0.0
8,1162.0
4,2768.629117
5,332796.5
7,1162326.40025
5,0.0
7,4484.43361963
7,0.0
6,4596.02468323
6,6269.0
4,4659.5
5,23467.5
7,0.0
4,2134.0
6,0.0
6,3793.5
4,25849.7467299
7,27505.3824798
2,164604.661684
6,0.0
4,116037.005748
4,15605.2559274
5,231363.029035
6,8298.5
6,59179.5
8,0.0
8,358042.389847
8,489724.0
4,0.0
7,274071.0
8,0.0
7,56789.5485037

5-Fold RMSE:,99601.1388059,126304.883478,182269.273241,90956.5434929,90956.5434929
Average 5-Fold RMSE:,185177.672578

5-Fold rsquared:,-0.0634399636918,-0.261083986747,-142.794799945,0.131151891799,0.131151891799
Average 5-Fold rsquared:,-28.8343454113
