topology_density,rotError.mean.std
0.0827586206897,0.0055707192085
0.070564516129,0.005774
0.111111111111,0.00612134232338
0.0905797101449,0.005801
0.0804597701149,0.010443
0.0585585585586,0.0
0.0505319148936,0.0071645
0.105263157895,0.004242387086
0.109523809524,0.454829
0.0866666666667,0.585340681631
0.0659536541889,0.0
0.0621848739496,0.00592653260066
0.090756302521,0.0
0.105263157895,0.00493682941438
0.105263157895,0.000363
0.122807017544,1e-05
0.0978260869565,0.0232285
0.0942028985507,0.0
0.0773109243697,0.012573
0.0655462184874,0.0
0.0582793709528,0.0029735
0.0689655172414,0.00940442351001
0.0641025641026,0.0173000462265
0.666666666667,0.389879276934
0.133333333333,0.0
0.1,0.370803851292
0.0984615384615,0.0154836093337
0.0542635658915,0.0414718190067
0.0619796484736,0.2579585
0.0909090909091,0.0264565
0.0826210826211,0.0
0.0592334494774,0.0619982553142
0.0550724637681,0.370025
0.117647058824,0.0
0.0585365853659,0.1258145
0.0460829493088,0.0
0.08,0.00653480410475

5-Fold RMSE:,0.201547084028,0.068428216376,0.155460566198,0.157376982495,0.157376982495
Average 5-Fold RMSE:,0.157265584449

5-Fold rsquared:,-0.0114764575849,0.0764945151947,0.294241906509,-0.0740440894802,-0.0740440894802
Average 5-Fold rsquared:,-67.3482671799
