avgRoomWallRatio,transError.numSamples.mean
28.751717776,8627.0
137.556377369,15695.5
52.1209436869,6140.2
11.0567143812,4242.0
25.0965042526,6332.5
5.11370107056,6329.0
5.20722404423,5863.0
16.4235744233,6086.75
23.8346876138,357218.5
20.8609685098,830942.333333
5.36699093475,36389.0
6.82477892286,15490.3333333
8.06038669655,13796.0
29.1017856064,12714.3333333
112.186234652,7331.0
9.94474092631,7723.5
20.3487250038,25949.5
32.0558355679,22338.0
5.66003775883,24431.0
41.7117577663,59670.0
4.15960998171,13573.5
257.915562133,22022.0
18.4384227154,32607.8
78.8607355756,437301.0
17.0310324486,151082.0
5.20590608492,114100.666667
15.5899748781,35666.8
9.40155834329,122499.666667
5.76789137536,19129.5
32.8475094999,110106.5
21.165267296,1804313.0
12.5838625992,225133.0
31.9225066807,531998.0
20.6470540419,242087.0
94.0246719844,311884.0
74.578108553,65744.0
42.725871617,57460.5

5-Fold RMSE:,171402.363946,139774.190555,141145.687074,724660.134458,724660.134458
Average 5-Fold RMSE:,273241.112156

5-Fold rsquared:,-1.35301329933,-0.0405462401805,-90.3768121981,-0.0583477792441,-0.0583477792441
Average 5-Fold rsquared:,-18.3976388508
