voronoi_diameter,transError.mean.std
45,0.0268714999802
31,0.08188
40,0.0386996817124
26,0.195896
31,0.00292
32,0.0
38,0.1233725
18,0.0698618482453
34,4.9228345
31,9.61954530971
31,0.0
38,0.156519499397
52,0.0
27,0.277745542295
8,0.448678
24,0.347259
30,0.354833
38,0.0
27,0.0584935
30,0.0
26,0.321336
34,0.477166622112
40,0.255518043365
38,3.45614803464
31,0.0
27,3.87716082459
44,0.596664793933
51,2.23653723722
41,0.1633645
51,0.9678625
28,0.0
39,2.54792806727
55,6.6343885
24,0.0
28,5.7450325
44,0.0
36,0.15450226646

5-Fold RMSE:,1.61698974044,1.87917716233,1.36441339975,4.17025324731,4.17025324731
Average 5-Fold RMSE:,2.19233160669

5-Fold rsquared:,-0.0339204043074,-0.400679870167,0.00234591730581,0.0105095146129,0.0105095146129
Average 5-Fold rsquared:,-0.146643675219
