voronoi_avg_betweenness_centrality,transError.mean.mean
0.0649559528436,0.77999825
0.0530579343746,0.737788
0.0637462112276,0.6111264
0.0650717683523,0.627088
0.0519919002253,0.895302
0.0543909260484,0.690067
0.0511352348359,0.6868825
0.0510232807543,0.7195855
0.0905225691265,6.0711005
0.0503509521959,7.747828
0.0415603204832,1.066061
0.0588473635416,0.880959666667
0.0321313931569,1.110731
0.0720605736997,0.992162
0.137012987013,0.806277
0.0682366021076,0.960523
0.058391423179,0.95364
0.0533682183273,1.467048
0.0407834101382,1.3147815
0.0472698785658,1.60563
0.0512248343955,1.28873
0.0510723425654,1.08620766667
0.0494197342933,0.873942
0.0467709082677,9.46907833333
0.101026753682,5.437125
0.072659366777,5.458101
0.0538211780553,1.9444218
0.0536409255235,2.43944244444
0.055920167335,2.0359135
0.0737227337282,2.2091805
0.0589674081539,16.189822
0.049189456212,2.9383338
0.0454936627156,7.8686635
0.086418435933,3.155217
0.0453083989501,7.5462215
0.0313445517341,1.874993
0.076188994946,1.3166405

5-Fold RMSE:,2.45760693382,1.89354642232,5.48577528779,3.74570399992,3.74570399992
Average 5-Fold RMSE:,3.34327036476

5-Fold rsquared:,-0.0121244804801,-12.6681759572,-0.435051747376,-10.4755357296,-10.4755357296
Average 5-Fold rsquared:,-4.77756333942
