topology_edges,transError.std.mean
36,0.79363175
35,0.9712675
19,0.660006
25,0.553814
35,0.679647
39,0.695845
57,0.6465805
18,0.64506525
23,8.99611
26,11.1858156667
37,4.032134
37,0.868578333333
54,0.980527
20,0.931125666667
18,0.68123
21,0.7183785
27,1.188382
26,1.285796
46,1.247364
39,2.102963
63,1.003049
30,1.010814
50,1.3055026
2,13.7854806667
14,8.904198
19,5.65513066667
32,1.8947556
49,2.71848344444
67,1.921542
23,2.705434
29,28.104709
51,2.8970098
57,11.9478155
16,4.520748
48,9.020481
90,2.112467
24,1.77265025

5-Fold RMSE:,2.77046163865,10.0190011856,4.89418691452,3.11058805886,3.11058805886
Average 5-Fold RMSE:,4.99809802102

5-Fold rsquared:,-0.0599760266821,-0.0162927797576,-2.47014379777,-18.671928504,-18.671928504
Average 5-Fold rsquared:,-4.29197107236
