topology_diameter,transError.mean.std
8,0.0268714999802
7,0.08188
4,0.0386996817124
5,0.195896
4,0.00292
6,0.0
8,0.1233725
4,0.0698618482453
5,4.9228345
7,9.61954530971
5,0.0
7,0.156519499397
7,0.0
6,0.277745542295
6,0.448678
4,0.347259
5,0.354833
7,0.0
4,0.0584935
6,0.0
6,0.321336
4,0.477166622112
7,0.255518043365
2,3.45614803464
6,0.0
4,3.87716082459
4,0.596664793933
5,2.23653723722
6,0.1633645
6,0.9678625
8,0.0
8,2.54792806727
8,6.6343885
4,0.0
7,5.7450325
8,0.0
7,0.15450226646

5-Fold RMSE:,1.04188512334,2.25217688071,3.84487388083,2.28500939747,2.28500939747
Average 5-Fold RMSE:,2.17302335093

5-Fold rsquared:,-0.0306092400162,0.00368615867342,-0.0247212460065,-0.533214249891,-0.533214249891
Average 5-Fold rsquared:,-116.592465413
