voronoi_std_closeness_centrality,rotError.numSamples.mean
0.0115281691071,8627.0
0.0127664010297,15695.5
0.012871900677,6140.2
0.00955666431135,4242.0
0.0101031055214,6332.5
0.0104434238961,6329.0
0.010504734642,5863.0
0.0237913288013,6086.75
0.0161798718058,357218.5
0.0136819240382,830942.333333
0.0122438733975,36389.0
0.0116531019994,15490.3333333
0.00741871144613,13796.0
0.0155996031848,12714.3333333
0.0519139466047,7331.0
0.0121048389773,7723.5
0.0133203744133,25949.5
0.0111789888503,22338.0
0.012002439584,24431.0
0.0110110099535,59670.0
0.0121833939039,13573.5
0.0092818621892,22022.0
0.0136604729771,32607.8
0.0129204340926,437301.0
0.0155910611826,151082.0
0.0143990925972,114100.666667
0.0141771999006,35666.8
0.00310742205166,122499.666667
0.0105738429496,19129.5
0.00914047087579,110106.5
0.0164595556523,1804313.0
0.00952672556587,225133.0
0.00976784712079,531998.0
0.0192787369224,242087.0
0.0162028340043,311884.0
0.00875221342896,65744.0
0.0130270578487,57460.5

5-Fold RMSE:,155170.105481,265701.560039,435841.370484,645127.26437,645127.26437
Average 5-Fold RMSE:,330293.536638

5-Fold rsquared:,-0.631549205522,-0.0455307258071,-0.00588840521783,-0.0467046435184,-0.0467046435184
Average 5-Fold rsquared:,-4.60961353663
