voronoi_edges,transError.std.mean
253,0.79363175
235,0.9712675
255,0.660006
170,0.553814
246,0.679647
232,0.695845
303,0.6465805
147,0.64506525
128,8.99611
263,11.1858156667
337,4.032134
253,0.868578333333
651,0.980527
166,0.931125666667
24,0.68123
159,0.7183785
195,1.188382
305,1.285796
295,1.247364
287,2.102963
229,1.003049
279,1.010814
315,1.3055026
297,13.7854806667
112,8.904198
155,5.65513066667
257,1.8947556
449,2.71848344444
285,1.921542
321,2.705434
193,28.104709
320,2.8970098
437,11.9478155
104,4.520748
264,9.020481
562,2.112467
189,1.77265025

5-Fold RMSE:,9.76767911963,3.90694911345,4.35698184558,3.04746261121,3.04746261121
Average 5-Fold RMSE:,4.94121483821

5-Fold rsquared:,-0.0761536164227,-0.0860017914252,-0.0119546621219,-0.109549463345,-0.109549463345
Average 5-Fold rsquared:,-0.0753868767408
