totalLength,transError.std.mean
1329.72750899,0.79363175
2108.7669849,0.9712675
2256.12310928,0.660006
824.368835301,0.553814
2126.22049647,0.679647
1790.18354594,0.695845
1441.58676375,0.6465805
2440.05942838,0.64506525
946.029134275,8.99611
863.896973708,11.1858156667
3457.98110153,4.032134
1867.26882519,0.868578333333
3890.3216491,0.980527
1367.16333489,0.931125666667
1063.51137603,0.68123
1525.83099978,0.7183785
1159.62437526,1.188382
1396.36771942,1.285796
874.593326059,1.247364
897.427820849,2.102963
1435.35472905,1.003049
2824.82110656,1.010814
1946.83451508,1.3055026
846.497995999,13.7854806667
384.084747385,8.904198
1326.42297693,5.65513066667
2372.92825138,1.8947556
3101.91185446,2.71848344444
1942.47141161,1.921542
3185.90692283,2.705434
848.674294841,28.104709
3035.9531446,2.8970098
917.952284687,11.9478155
537.458350768,4.520748
3987.59657007,9.020481
1047.88838472,2.112467
2361.72989476,1.77265025

5-Fold RMSE:,3.35029994752,3.31961721868,4.75655026047,9.4936773975,9.4936773975
Average 5-Fold RMSE:,5.16652437136

5-Fold rsquared:,0.144839565374,-0.118399858448,0.207738886602,-5.36570673276,-5.36570673276
Average 5-Fold rsquared:,-0.966584741637
