topology_edges,rotError.mean.mean
36,0.033056
35,0.022922
19,0.0119034
25,0.024416
35,0.022984
39,0.026014
57,0.0385815
18,0.01411725
23,0.508538
26,0.427206333333
37,0.027683
37,0.021869
54,0.025594
20,0.011314
18,0.005875
21,0.008499
27,0.0364685
26,0.013377
46,0.025206
39,0.098742
63,0.0188725
30,0.0217106666667
50,0.0356654
2,0.710121333333
14,0.617859
19,0.347246
32,0.037768
49,0.0542597777778
67,0.2879235
23,0.0488165
29,0.811734
51,0.061975
57,0.422134
16,0.415324
48,0.1402775
90,0.058548
24,0.02715275

5-Fold RMSE:,0.246284033253,0.175606967204,0.17811196472,0.322596204843,0.322596204843
Average 5-Fold RMSE:,0.220643288576

5-Fold rsquared:,0.21061226064,-37.3277634651,-0.213360075646,0.150031085267,0.150031085267
Average 5-Fold rsquared:,-7.45631489127
