voronoi_std_betweenness_centrality,transError.mean.std
0.108306665569,0.0268714999802
0.0848366529613,0.08188
0.114004545879,0.0386996817124
0.103636622274,0.195896
0.082138035642,0.00292
0.0855568473939,0.0
0.0952789524029,0.1233725
0.0830023467368,0.0698618482453
0.157379029906,4.9228345
0.0778880925589,9.61954530971
0.0958990178296,0.0
0.123818508682,0.156519499397
0.064127687584,0.0
0.128144102526,0.277745542295
0.126020319963,0.448678
0.0939366873161,0.347259
0.0872310046751,0.354833
0.115339067677,0.0
0.0623751617214,0.0584935
0.0762021693546,0.0
0.0702608079073,0.321336
0.0867796134283,0.477166622112
0.0850149322524,0.255518043365
0.0828370625069,3.45614803464
0.16805134529,0.0
0.138718645002,3.87716082459
0.0739055320019,0.596664793933
0.0913729694687,2.23653723722
0.0894050902149,0.1633645
0.134288831834,0.9678625
0.1103334443,0.0
0.0770398687958,2.54792806727
0.0862567077224,6.6343885
0.151920860392,0.0
0.0746543812721,5.7450325
0.0511046648544,0.0
0.140770979315,0.15450226646

5-Fold RMSE:,1.39207964296,1.26459492067,2.80289403487,4.03271541948,4.03271541948
Average 5-Fold RMSE:,2.23880993831

5-Fold rsquared:,-0.141636907161,-112.784907518,-0.374624382632,-13.3082483731,-13.3082483731
Average 5-Fold rsquared:,-25.3835574401
