topology_diameter,transError.std.std
8,0.0488762765684
7,0.1863275
4,0.101101237389
5,0.186017
4,0.009255
6,0.0
8,0.0591725
4,0.138424101571
5,7.65827
7,14.6652972746
5,0.0
7,0.163987254835
7,0.0
6,0.187602242848
6,0.322411
4,0.2730165
5,0.749069
7,0.0
4,0.066417
6,0.0
6,0.146625
4,0.721266797933
7,0.738109625713
2,3.0796217385
6,0.0
4,4.04790223421
4,0.36931376237
5,2.45785083592
6,0.413958
6,0.845742
8,0.0
8,2.57654755771
8,10.1506075
4,0.0
7,7.315611
8,0.0
7,0.795869226053

5-Fold RMSE:,1.98350589898,3.22989110471,2.97967959313,5.12790148842,5.12790148842
Average 5-Fold RMSE:,3.13533421507

5-Fold rsquared:,-0.0266727833457,0.0155258597802,-45.5806744462,-0.303018982144,-0.303018982144
Average 5-Fold rsquared:,-10.0320591193
