voronoi_std_eigenvector_centrality,rotError.mean.mean
0.0621418524861,0.033056
0.064562611159,0.022922
0.0655147896749,0.0119034
0.0756944120562,0.024416
0.063736397957,0.022984
0.0655788298353,0.026014
0.0571208297746,0.0385815
0.0795172592942,0.01411725
0.0863325328339,0.508538
0.0625710750276,0.427206333333
0.0539293297254,0.027683
0.0623255741929,0.021869
0.0393741635952,0.025594
0.0778171239841,0.011314
0.183177866246,0.005875
0.0788215763143,0.008499
0.0702204048489,0.0364685
0.0583048887054,0.013377
0.0585601819606,0.025206
0.0588844988291,0.098742
0.0665140899304,0.0188725
0.0595416486538,0.0217106666667
0.0570370754118,0.0356654
0.0583229555488,0.710121333333
0.092355006202,0.617859
0.0794001997108,0.347246
0.0633224148962,0.037768
0.0480134270942,0.0542597777778
0.0594842394656,0.2879235
0.057696329759,0.0488165
0.0701124270704,0.811734
0.0559140808964,0.061975
0.0480981747221,0.422134
0.095602752891,0.415324
0.061688422116,0.1402775
0.0433166383751,0.058548
0.0718074587629,0.02715275

5-Fold RMSE:,0.186999567491,0.155715919586,0.28176238362,0.375130118177,0.375130118177
Average 5-Fold RMSE:,0.231325648589

5-Fold rsquared:,-0.120194774722,-0.478849749815,-0.148304534127,-1.34285608857,-1.34285608857
Average 5-Fold rsquared:,-0.48192695987
