traversalTime,transError.std.std
951.22385554,0.0488762765684
750.178214424,0.1863275
717.088483789,0.101101237389
589.758911653,0.186017
874.938568522,0.009255
870.904226907,0.0
870.931728251,0.0591725
550.763056801,0.138424101571
492.886623007,7.65827
656.952316561,14.6652972746
1371.34741951,0.0
1187.28583886,0.163987254835
2035.82864252,0.0
754.01694709,0.187602242848
205.223499199,0.322411
726.421235223,0.2730165
786.534337607,0.749069
841.175649661,0.0
731.103227949,0.066417
897.190026783,0.0
1173.06783952,0.146625
1069.35769226,0.721266797933
1006.22432177,0.738109625713
823.369821087,3.0796217385
183.023661923,0.0
1001.59400158,4.04790223421
1342.9430314,0.36931376237
1455.54715772,2.45785083592
1603.67256076,0.413958
1367.57529848,0.845742
520.067365763,0.0
1567.27616653,2.57654755771
1008.03211816,10.1506075
510.678711028,0.0
1349.09985599,7.315611
918.534020399,0.0
1578.35836762,0.795869226053

5-Fold RMSE:,4.82991675595,2.06526000039,1.42697403263,3.4005675036,3.4005675036
Average 5-Fold RMSE:,3.04046496138

5-Fold rsquared:,-0.0538800206575,-3.92286349661,-0.255371173233,-0.235998397222,-0.235998397222
Average 5-Fold rsquared:,-1.00457046586
