perimeter,transError.std.mean
582.414195881,0.79363175
574.390274931,0.9712675
642.501394841,0.660006
396.724658884,0.553814
398.050280897,0.679647
629.847164937,0.695845
325.157616123,0.6465805
161.46910584,0.64506525
607.353417602,8.99611
623.982104305,11.1858156667
413.568733758,4.032134
479.641424654,0.868578333333
383.710764507,0.980527
673.355919531,0.931125666667
798.372831181,0.68123
186.385475943,0.7183785
609.954365264,1.188382
661.864870045,1.285796
243.197749682,1.247364
625.529006956,2.102963
175.184877189,1.003049
810.652971073,1.010814
791.247099826,1.3055026
569.465956684,13.7854806667
301.700928702,8.904198
333.320883456,5.65513066667
251.520417083,1.8947556
266.853191731,2.71848344444
277.253593842,1.921542
542.151199633,2.705434
523.504495381,28.104709
462.202334131,2.8970098
804.802666284,11.9478155
577.749460923,4.520748
919.385854688,9.020481
687.006424965,2.112467
1411.67024864,1.77265025

5-Fold RMSE:,3.42281222302,4.77260855696,2.7700832544,2.78990016143,2.78990016143
Average 5-Fold RMSE:,4.83542609378

5-Fold rsquared:,0.0461236650565,-0.014170283657,-154.118826036,-0.159011302891,-0.159011302891
Average 5-Fold rsquared:,-30.9337679945
