voronoi_numBifurcationPoints,transError.std.std
125,0.0488762765684
117,0.1863275
135,0.101101237389
81,0.186017
121,0.009255
111,0.0
145,0.0591725
66,0.138424101571
62,7.65827
134,14.6652972746
126,0.0
123,0.163987254835
324,0.0
82,0.187602242848
13,0.322411
68,0.2730165
93,0.749069
146,0.0
148,0.066417
141,0.0
93,0.146625
137,0.721266797933
155,0.738109625713
145,3.0796217385
52,0.0
58,4.04790223421
107,0.36931376237
195,2.45785083592
119,0.413958
159,0.845742
94,0.0
160,2.57654755771
214,10.1506075
49,0.0
131,7.315611
268,0.0
92,0.795869226053

5-Fold RMSE:,4.80990689389,2.05971166911,4.20653197796,1.64290862152,1.64290862152
Average 5-Fold RMSE:,3.08602767681

5-Fold rsquared:,-0.0886823128508,-0.00552242381489,-20.5068741426,-0.218655263719,-0.218655263719
Average 5-Fold rsquared:,-4.42119832844
