voronoi_std_closeness_centrality,transError.mean.mean
0.0115281691071,0.77999825
0.0127664010297,0.737788
0.012871900677,0.6111264
0.00955666431135,0.627088
0.0101031055214,0.895302
0.0104434238961,0.690067
0.010504734642,0.6868825
0.0237913288013,0.7195855
0.0161798718058,6.0711005
0.0136819240382,7.747828
0.0122438733975,1.066061
0.0116531019994,0.880959666667
0.00741871144613,1.110731
0.0155996031848,0.992162
0.0519139466047,0.806277
0.0121048389773,0.960523
0.0133203744133,0.95364
0.0111789888503,1.467048
0.012002439584,1.3147815
0.0110110099535,1.60563
0.0121833939039,1.28873
0.0092818621892,1.08620766667
0.0136604729771,0.873942
0.0129204340926,9.46907833333
0.0155910611826,5.437125
0.0143990925972,5.458101
0.0141771999006,1.9444218
0.00310742205166,2.43944244444
0.0105738429496,2.0359135
0.00914047087579,2.2091805
0.0164595556523,16.189822
0.00952672556587,2.9383338
0.00976784712079,7.8686635
0.0192787369224,3.155217
0.0162028340043,7.5462215
0.00875221342896,1.874993
0.0130270578487,1.3166405

5-Fold RMSE:,2.66110604719,3.1391751549,5.6273505948,1.48947009716,1.48947009716
Average 5-Fold RMSE:,3.1720023077

5-Fold rsquared:,-0.0343338534918,-0.0813475737133,-4.43807952735,-0.246096660476,-0.246096660476
Average 5-Fold rsquared:,-1.92325782973
