perimeter,transError.numSamples.std
582.414195881,1692.08022859
574.390274931,3411.5
642.501394841,2886.681652
396.724658884,2356.0
398.050280897,168.5
629.847164937,0.0
325.157616123,1162.0
161.46910584,2768.629117
607.353417602,332796.5
623.982104305,1162326.40025
413.568733758,0.0
479.641424654,4484.43361963
383.710764507,0.0
673.355919531,4596.02468323
798.372831181,6269.0
186.385475943,4659.5
609.954365264,23467.5
661.864870045,0.0
243.197749682,2134.0
625.529006956,0.0
175.184877189,3793.5
810.652971073,25849.7467299
791.247099826,27505.3824798
569.465956684,164604.661684
301.700928702,0.0
333.320883456,116037.005748
251.520417083,15605.2559274
266.853191731,231363.029035
277.253593842,8298.5
542.151199633,59179.5
523.504495381,0.0
462.202334131,358042.389847
804.802666284,489724.0
577.749460923,0.0
919.385854688,274071.0
687.006424965,0.0
1411.67024864,56789.5485037

5-Fold RMSE:,154817.312997,387342.334781,162836.834935,96471.4775576,96471.4775576
Average 5-Fold RMSE:,195915.768347

5-Fold rsquared:,-38.0177768796,-0.143799199989,-0.110310585398,-5.27986089211,-5.27986089211
Average 5-Fold rsquared:,-8.81683709612
