traversalTime,rotError.std.std
951.22385554,0.00415768868333
750.178214424,0.0035425
717.088483789,0.00655641073759
589.758911653,0.0051905
874.938568522,0.006605
870.904226907,0.0
870.931728251,0.0056375
550.763056801,0.00514110111625
492.886623007,0.4711185
656.952316561,0.520981324519
1371.34741951,0.0
1187.28583886,0.00461329826576
2035.82864252,0.0
754.01694709,0.00678663190888
205.223499199,0.000102
726.421235223,0.002803
786.534337607,0.0297495
841.175649661,0.0
731.103227949,0.004725
897.190026783,0.0
1173.06783952,0.003115
1069.35769226,0.00955488046323
1006.22432177,0.0452229868072
823.369821087,0.265200879727
183.023661923,0.0
1001.59400158,0.370361932929
1342.9430314,0.0440903158374
1455.54715772,0.0449257746967
1603.67256076,0.3296775
1367.57529848,0.015767
520.067365763,0.0
1567.27616653,0.0520600178548
1008.03211816,0.46847
510.678711028,0.0
1349.09985599,0.126804
918.534020399,0.0
1578.35836762,0.00888930742522

5-Fold RMSE:,0.186989017336,0.104858614547,0.176624600565,0.17938719985,0.17938719985
Average 5-Fold RMSE:,0.155179341809

5-Fold rsquared:,-0.0689479140755,-0.1441221254,-0.0728749191018,-0.101369554866,-0.101369554866
Average 5-Fold rsquared:,-0.105020543714
