topology_std_katz_centrality,rotError.mean.mean
0.0415496602463,0.033056
0.0327402912611,0.022922
0.040361653923,0.0119034
0.052747219677,0.024416
0.0596202838132,0.022984
0.0517742245605,0.026014
0.0440867661807,0.0385815
0.0586605327873,0.01411725
0.0447871510946,0.508538
0.0455697766838,0.427206333333
0.0343501102959,0.027683
0.0348802179017,0.021869
0.0387865986683,0.025594
0.0313893001367,0.011314
0.0375295099882,0.005875
0.0560533106338,0.008499
0.0528453814189,0.0364685
0.0388418335422,0.013377
0.0545557900803,0.025206
0.0447742735529,0.098742
0.0504062668326,0.0188725
0.0522435943348,0.0217106666667
0.0365337137694,0.0356654
0.0239938583583,0.710121333333
0.0371844136274,0.617859
0.0509329526464,0.347246
0.0665161870029,0.037768
0.0595870605781,0.0542597777778
0.047552149884,0.2879235
0.0343000566012,0.0488165
0.0454501425725,0.811734
0.0281128168704,0.061975
0.049173358584,0.422134
0.0482392301694,0.415324
0.0358111856313,0.1402775
0.0303695030845,0.058548
0.0458339228496,0.02715275

5-Fold RMSE:,0.18527746576,0.145531918481,0.303286038297,0.203837331535,0.203837331535
Average 5-Fold RMSE:,0.22196420182

5-Fold rsquared:,-2.29866229971,0.0366277535962,0.0216485355147,-0.747356547947,-0.747356547947
Average 5-Fold rsquared:,-0.619600984212
