voronoi_std_betweenness_centrality,rotError.mean.mean
0.108306665569,0.033056
0.0848366529613,0.022922
0.114004545879,0.0119034
0.103636622274,0.024416
0.082138035642,0.022984
0.0855568473939,0.026014
0.0952789524029,0.0385815
0.0830023467368,0.01411725
0.157379029906,0.508538
0.0778880925589,0.427206333333
0.0958990178296,0.027683
0.123818508682,0.021869
0.064127687584,0.025594
0.128144102526,0.011314
0.126020319963,0.005875
0.0939366873161,0.008499
0.0872310046751,0.0364685
0.115339067677,0.013377
0.0623751617214,0.025206
0.0762021693546,0.098742
0.0702608079073,0.0188725
0.0867796134283,0.0217106666667
0.0850149322524,0.0356654
0.0828370625069,0.710121333333
0.16805134529,0.617859
0.138718645002,0.347246
0.0739055320019,0.037768
0.0913729694687,0.0542597777778
0.0894050902149,0.2879235
0.134288831834,0.0488165
0.1103334443,0.811734
0.0770398687958,0.061975
0.0862567077224,0.422134
0.151920860392,0.415324
0.0746543812721,0.1402775
0.0511046648544,0.058548
0.140770979315,0.02715275

5-Fold RMSE:,0.256698432951,0.265516780743,0.145906352465,0.193779357067,0.193779357067
Average 5-Fold RMSE:,0.202730879395

5-Fold rsquared:,-0.145675141049,-0.00880353951695,0.165035118719,0.178696020197,0.178696020197
Average 5-Fold rsquared:,-20.1743430179
