voronoi_radius,rotError.numSamples.std
23,1692.08022859
18,3411.5
20,2886.681652
18,2356.0
19,168.5
18,0.0
21,1162.0
9,2768.629117
17,332796.5
16,1162326.40025
16,0.0
19,4484.43361963
27,0.0
14,4596.02468323
4,6269.0
16,4659.5
16,23467.5
19,0.0
15,2134.0
17,0.0
19,3793.5
20,25849.7467299
20,27505.3824798
19,164604.661684
16,0.0
14,116037.005748
22,15605.2559274
40,231363.029035
21,8298.5
26,59179.5
14,0.0
20,358042.389847
28,489724.0
12,0.0
14,274071.0
23,0.0
18,56789.5485037

5-Fold RMSE:,95556.0449181,410202.416957,176918.172946,90900.6346693,90900.6346693
Average 5-Fold RMSE:,179761.091612

5-Fold rsquared:,0.0555585671321,-0.226122739048,-1.70129974773,0.0517569762007,0.0517569762007
Average 5-Fold rsquared:,-0.389482646887
