topology_density,transError.mean.std
0.0827586206897,0.0268714999802
0.070564516129,0.08188
0.111111111111,0.0386996817124
0.0905797101449,0.195896
0.0804597701149,0.00292
0.0585585585586,0.0
0.0505319148936,0.1233725
0.105263157895,0.0698618482453
0.109523809524,4.9228345
0.0866666666667,9.61954530971
0.0659536541889,0.0
0.0621848739496,0.156519499397
0.090756302521,0.0
0.105263157895,0.277745542295
0.105263157895,0.448678
0.122807017544,0.347259
0.0978260869565,0.354833
0.0942028985507,0.0
0.0773109243697,0.0584935
0.0655462184874,0.0
0.0582793709528,0.321336
0.0689655172414,0.477166622112
0.0641025641026,0.255518043365
0.666666666667,3.45614803464
0.133333333333,0.0
0.1,3.87716082459
0.0984615384615,0.596664793933
0.0542635658915,2.23653723722
0.0619796484736,0.1633645
0.0909090909091,0.9678625
0.0826210826211,0.0
0.0592334494774,2.54792806727
0.0550724637681,6.6343885
0.117647058824,0.0
0.0585365853659,5.7450325
0.0460829493088,0.0
0.08,0.15450226646

5-Fold RMSE:,2.30519119274,3.85032048272,3.32729548277,2.32352770545,2.32352770545
Average 5-Fold RMSE:,2.63392043157

5-Fold rsquared:,-0.211583369007,-3.06856316055,-0.084602306221,-0.0404281511877,-0.0404281511877
Average 5-Fold rsquared:,-26.889131898
