topology_std_eigenvector_centrality,transError.std.mean
0.118775976121,0.79363175
0.105912295049,0.9712675
0.128133402293,0.660006
0.123327189632,0.553814
0.11116785633,0.679647
0.0963975736058,0.695845
0.111420287448,0.6465805
0.132839614937,0.64506525
0.12661037708,8.99611
0.129278231027,11.1858156667
0.116999705628,4.032134
0.113860325594,0.868578333333
0.0983045532532,0.980527
0.136984666563,0.931125666667
0.121745985772,0.68123
0.129587592,0.7183785
0.12417994054,1.188382
0.143314542052,1.285796
0.105943592175,1.247364
0.112661742233,2.102963
0.0953368680058,1.003049
0.11078077306,1.010814
0.108512198276,1.3055026
0.0976310729378,13.7854806667
0.136238783067,8.904198
0.127039153774,5.65513066667
0.112134596259,1.8947556
0.0976912934536,2.71848344444
0.0929410616606,1.921542
0.109405113251,2.705434
0.13417553378,28.104709
0.114101280324,2.8970098
0.106549735087,11.9478155
0.133073753052,4.520748
0.10756347235,9.020481
0.0795638641065,2.112467
0.133711411098,1.77265025

5-Fold RMSE:,9.70410037772,3.27206540546,4.89925276164,4.38271963726,4.38271963726
Average 5-Fold RMSE:,4.80635861011

5-Fold rsquared:,-0.601324192142,-0.761577755212,-0.0316755485238,-0.110647204493,-0.110647204493
Average 5-Fold rsquared:,-0.786365128082
