voronoi_diameter,rotError.std.mean
45,0.02798225
31,0.0320445
40,0.0178372
26,0.0199945
31,0.021598
32,0.036893
38,0.0359985
18,0.01772125
34,0.5246775
31,0.385748
31,0.088337
38,0.0298306666667
52,0.022416
27,0.014809
8,0.008167
24,0.012435
30,0.0413675
38,0.02285
27,0.028219
30,0.122708
26,0.020269
34,0.023071
40,0.0556182
38,0.805028666667
31,0.736744
27,0.348673666667
44,0.0636326
51,0.0959848888889
41,0.3574515
51,0.047268
28,0.997592
39,0.0586724
55,0.546293
24,0.668596
28,0.147273
44,0.059187
36,0.033395

5-Fold RMSE:,0.244657548097,0.23319474335,0.515420995695,0.164776057623,0.164776057623
Average 5-Fold RMSE:,0.268401986588

5-Fold rsquared:,-127.573856479,-0.4591705589,-0.412576106075,-0.707863850255,-0.707863850255
Average 5-Fold rsquared:,-25.8903931657
