voronoi_numBifurcationPoints,rotError.std.std
125,0.00415768868333
117,0.0035425
135,0.00655641073759
81,0.0051905
121,0.006605
111,0.0
145,0.0056375
66,0.00514110111625
62,0.4711185
134,0.520981324519
126,0.0
123,0.00461329826576
324,0.0
82,0.00678663190888
13,0.000102
68,0.002803
93,0.0297495
146,0.0
148,0.004725
141,0.0
93,0.003115
137,0.00955488046323
155,0.0452229868072
145,0.265200879727
52,0.0
58,0.370361932929
107,0.0440903158374
195,0.0449257746967
119,0.3296775
159,0.015767
94,0.0
160,0.0520600178548
214,0.46847
49,0.0
131,0.126804
268,0.0
92,0.00888930742522

5-Fold RMSE:,0.0961227976237,0.237187603097,0.144598254057,0.172044171344,0.172044171344
Average 5-Fold RMSE:,0.152825620844

5-Fold rsquared:,-0.269652547296,-2.60259370008,-0.177925400735,-392.655370695,-392.655370695
Average 5-Fold rsquared:,-79.1576430249
