perimeter,transError.mean.mean
582.414195881,0.77999825
574.390274931,0.737788
642.501394841,0.6111264
396.724658884,0.627088
398.050280897,0.895302
629.847164937,0.690067
325.157616123,0.6868825
161.46910584,0.7195855
607.353417602,6.0711005
623.982104305,7.747828
413.568733758,1.066061
479.641424654,0.880959666667
383.710764507,1.110731
673.355919531,0.992162
798.372831181,0.806277
186.385475943,0.960523
609.954365264,0.95364
661.864870045,1.467048
243.197749682,1.3147815
625.529006956,1.60563
175.184877189,1.28873
810.652971073,1.08620766667
791.247099826,0.873942
569.465956684,9.46907833333
301.700928702,5.437125
333.320883456,5.458101
251.520417083,1.9444218
266.853191731,2.43944244444
277.253593842,2.0359135
542.151199633,2.2091805
523.504495381,16.189822
462.202334131,2.9383338
804.802666284,7.8686635
577.749460923,3.155217
919.385854688,7.5462215
687.006424965,1.874993
1411.67024864,1.3166405

5-Fold RMSE:,3.83157037668,2.99429832683,5.47598697287,2.19614736568,2.19614736568
Average 5-Fold RMSE:,3.29933383865

5-Fold rsquared:,-15.3609371246,-0.0215830192114,-0.856378801313,-0.0058913058492,-0.0058913058492
Average 5-Fold rsquared:,-3.29864773512
