topology_std_katz_centrality,transError.numSamples.std
0.0415496602463,1692.08022859
0.0327402912611,3411.5
0.040361653923,2886.681652
0.052747219677,2356.0
0.0596202838132,168.5
0.0517742245605,0.0
0.0440867661807,1162.0
0.0586605327873,2768.629117
0.0447871510946,332796.5
0.0455697766838,1162326.40025
0.0343501102959,0.0
0.0348802179017,4484.43361963
0.0387865986683,0.0
0.0313893001367,4596.02468323
0.0375295099882,6269.0
0.0560533106338,4659.5
0.0528453814189,23467.5
0.0388418335422,0.0
0.0545557900803,2134.0
0.0447742735529,0.0
0.0504062668326,3793.5
0.0522435943348,25849.7467299
0.0365337137694,27505.3824798
0.0239938583583,164604.661684
0.0371844136274,0.0
0.0509329526464,116037.005748
0.0665161870029,15605.2559274
0.0595870605781,231363.029035
0.047552149884,8298.5
0.0343000566012,59179.5
0.0454501425725,0.0
0.0281128168704,358042.389847
0.049173358584,489724.0
0.0482392301694,0.0
0.0358111856313,274071.0
0.0303695030845,0.0
0.0458339228496,56789.5485037

5-Fold RMSE:,103560.187354,99466.3858197,112273.31014,485873.625214,485873.625214
Average 5-Fold RMSE:,187179.175528

5-Fold rsquared:,-0.285416194741,-1.11083761012,-0.253298364228,-24.0729401138,-24.0729401138
Average 5-Fold rsquared:,-5.17023358932
