avgRoomPerimeter,transError.numSamples.mean
707.007128463,8627.0
758.966768091,15695.5
2161.19207626,6140.2
630.451496107,4242.0
470.90808455,6332.5
844.944967104,6329.0
120.176589697,5863.0
294.819744545,6086.75
973.132170798,357218.5
1194.83545134,830942.333333
191.601876363,36389.0
248.223687618,15490.3333333
112.337263592,13796.0
1792.08753811,12714.3333333
2075.92330798,7331.0
252.355785617,7723.5
1406.85593365,25949.5
759.248936383,22338.0
219.335679185,24431.0
855.595083334,59670.0
108.968542951,13573.5
1503.33670222,22022.0
774.553634232,32607.8
539.066583437,437301.0
529.397177254,151082.0
252.559291854,114100.666667
379.091758694,35666.8
191.722481992,122499.666667
99.2869208384,19129.5
575.918221531,110106.5
555.98246505,1804313.0
351.259423682,225133.0
650.998139899,531998.0
1344.71238759,242087.0
1364.92084998,311884.0
345.9363477,65744.0
3522.51982697,57460.5

5-Fold RMSE:,139954.955728,155402.608834,671057.553258,155989.169833,155989.169833
Average 5-Fold RMSE:,281330.434998

5-Fold rsquared:,-0.0139749190359,-0.269097503149,-0.0957920122175,-96.0444772359,-96.0444772359
Average 5-Fold rsquared:,-19.2914135502
