wallRatio,transError.mean.mean
195.799193881,0.77999825
64.2505870093,0.737788
113.84243497,0.6111264
276.335142736,0.627088
54.7144722115,0.895302
56.5108006335,0.690067
64.1950153828,0.6868825
40.7940417972,0.7195855
116.659635642,6.0711005
125.858650875,7.747828
42.5,1.066061
69.0004528971,0.880959666667
82.25,1.110731
136.792027631,0.992162
121.115647214,0.806277
85.5,0.960523
88.2524787187,0.95364
85.0,1.467048
185.4,1.3147815
137.333434466,1.60563
254.000492126,1.28873
61.75,1.08620766667
119.221642331,0.873942
107.12901101,9.46907833333
116.372247551,5.437125
116.833333333,5.458101
85.6692606611,1.9444218
82.2192191644,2.43944244444
75.0,2.0359135
59.6003355695,2.2091805
100.215345056,16.189822
113.5,2.9383338
62.8,7.8686635
64.8333333333,3.155217
95.5085578123,7.5462215
57.795023193,1.874993
195.0,1.3166405

5-Fold RMSE:,2.60288828152,2.63699197282,5.3166254578,2.99925538362,2.99925538362
Average 5-Fold RMSE:,3.18698873126

5-Fold rsquared:,0.00803292106145,-0.731831676415,-0.0890644015853,-0.0634075463195,-0.0634075463195
Average 5-Fold rsquared:,-0.220075887526
