avgRoomArea,rotError.std.mean
1770.82512649,0.02798225
1693.17206751,0.0320445
16879.3303371,0.0178372
2060.46065176,0.0199945
654.353986368,0.021598
2100.80696472,0.036893
42.0407507992,0.0359985
159.178043584,0.01772125
2951.87623731,0.5246775
6566.39327632,0.385748
117.729480802,0.088337
202.653527556,0.0298306666667
37.5123784326,0.022416
7841.40851591,0.014809
17362.1361915,0.008167
151.362690548,0.012435
5620.85672307,0.0413675
1963.40434773,0.02285
114.824991211,0.028219
1997.3848037,0.122708
34.881097464,0.020269
5426.47434551,0.023071
2722.63884182,0.0556182
1733.7689016,0.805028666667
1048.19797,0.736744
159.188760688,0.348673666667
301.946595142,0.0636326
99.3657311669,0.0959848888889
35.6467956188,0.3574515
1289.36416825,0.047268
1209.03521613,0.997592
363.343164941,0.0586724
943.370778453,0.546293
5552.49887159,0.668596
7977.65771283,0.147273
469.164697244,0.059187
49524.5924242,0.033395

5-Fold RMSE:,0.192989913173,0.342977166007,0.188478985888,0.149566173391,0.149566173391
Average 5-Fold RMSE:,0.254033611247

5-Fold rsquared:,-0.0542225231752,-0.298380849067,-0.200348607361,-0.0109131651475,-0.0109131651475
Average 5-Fold rsquared:,-0.29287428868
