voronoi_avg_closeness_centrality,transError.std.std
0.0607268432365,0.0488762765684
0.0784116989904,0.1863275
0.0670963269855,0.101101237389
0.0849009471958,0.186017
0.0752682157962,0.009255
0.0763646154256,0.0
0.0630304264848,0.0591725
0.12870857214,0.138424101571
0.0833470642953,7.65827
0.0764866089586,14.6652972746
0.0689598898793,0.0
0.0653665559372,0.163987254835
0.047644843881,0.0
0.0838354988579,0.187602242848
0.276990231888,0.322411
0.0884732603304,0.2730165
0.0840568168315,0.749069
0.0627819242078,0.0
0.0824425675438,0.066417
0.0716179077184,0.0
0.0829357773374,0.146625
0.0674685943723,0.721266797933
0.066160655136,0.738109625713
0.0716879263894,3.0796217385
0.0847485271117,0.0
0.0852834013798,4.04790223421
0.0745168063384,0.36931376237
0.0418780662733,2.45785083592
0.0626132509807,0.413958
0.0459685102702,0.845742
0.086124372711,0.0
0.0621938106869,2.57654755771
0.0511601522691,10.1506075
0.10438803755,0.0
0.0829681026723,7.315611
0.0583282349173,0.0
0.0677186188063,0.795869226053

5-Fold RMSE:,5.94710105615,1.66283708215,1.74960398849,3.43881157945,3.43881157945
Average 5-Fold RMSE:,2.89471443079

5-Fold rsquared:,-0.0386469248802,-0.0695365453867,-0.511749912254,-0.0245839303785,-0.0245839303785
Average 5-Fold rsquared:,-0.130309901403
