voronoi_radius,transError.std.std
23,0.0488762765684
18,0.1863275
20,0.101101237389
18,0.186017
19,0.009255
18,0.0
21,0.0591725
9,0.138424101571
17,7.65827
16,14.6652972746
16,0.0
19,0.163987254835
27,0.0
14,0.187602242848
4,0.322411
16,0.2730165
16,0.749069
19,0.0
15,0.066417
17,0.0
19,0.146625
20,0.721266797933
20,0.738109625713
19,3.0796217385
16,0.0
14,4.04790223421
22,0.36931376237
40,2.45785083592
21,0.413958
26,0.845742
14,0.0
20,2.57654755771
28,10.1506075
12,0.0
14,7.315611
23,0.0
18,0.795869226053

5-Fold RMSE:,1.81491459051,7.05024633095,1.34646522273,1.97808647844,1.97808647844
Average 5-Fold RMSE:,2.71606532214

5-Fold rsquared:,-0.221922327512,-0.35191633826,-0.0711046722469,-43.1793724989,-43.1793724989
Average 5-Fold rsquared:,-8.79022734237
