voronoi_radius,rotError.std.mean
23,0.02798225
18,0.0320445
20,0.0178372
18,0.0199945
19,0.021598
18,0.036893
21,0.0359985
9,0.01772125
17,0.5246775
16,0.385748
16,0.088337
19,0.0298306666667
27,0.022416
14,0.014809
4,0.008167
16,0.012435
16,0.0413675
19,0.02285
15,0.028219
17,0.122708
19,0.020269
20,0.023071
20,0.0556182
19,0.805028666667
16,0.736744
14,0.348673666667
22,0.0636326
40,0.0959848888889
21,0.3574515
26,0.047268
14,0.997592
20,0.0586724
28,0.546293
12,0.668596
14,0.147273
23,0.059187
18,0.033395

5-Fold RMSE:,0.161151283114,0.263942801699,0.256469066451,0.458354503794,0.458354503794
Average 5-Fold RMSE:,0.267122812828

5-Fold rsquared:,-0.558130559848,0.0208854730637,-157.109301644,-0.00272953870593,-0.00272953870593
Average 5-Fold rsquared:,-31.527983425
