area,rotError.std.mean
1196.88557207,0.02798225
1276.3958515,0.0320445
2354.8528125,0.0178372
1041.21327443,0.0199945
734.15,0.021598
1631.6725,0.036893
290.0184375,0.0359985
231.629375,0.01772125
1054.32679687,0.5246775
1933.90139917,0.385748
325.31,0.088337
459.930625,0.0298306666667
441.6625,0.022416
1647.76381253,0.014809
2313.45559827,0.008167
256.2996875,0.012435
1710.57095749,0.0413675
1020.60351562,0.02285
365.2209375,0.028219
1486.08538919,0.122708
268.7265625,0.020269
2419.47625,0.023071
1934.39945026,0.0556182
1244.54759766,0.805028666667
441.159665625,0.736744
235.2825,0.348673666667
397.378125,0.0636326
434.9653125,0.0959848888889
279.4009375,0.3574515
786.40125,0.047268
852.118300775,0.997592
774.963125,0.0586724
1269.8764875,0.546293
1203.42228531,0.668596
3629.2829625,0.147273
1312.1154,0.059187
5351.94959335,0.033395

5-Fold RMSE:,0.311385929035,0.174644727601,0.207309616586,0.286988914114,0.286988914114
Average 5-Fold RMSE:,0.26460134741

5-Fold rsquared:,-0.133867646733,-0.0475106535512,-0.749451723166,0.0116067944103,0.0116067944103
Average 5-Fold rsquared:,-0.21459316615
